pdf_file,page,text,font_size,x0,y0,flags,label
file01.pdf,1,Application form for grant of LTC advance,11.7,199.9,106.1,20,-1
file01.pdf,1,1,9.7,70,135.9,16,0
file01.pdf,1,Name of the Government Servant,9.7,96,133,0,0
file01.pdf,1,2,9.7,70,154.1,16,0
file01.pdf,1,Designation,9.7,96,151,0,0
file01.pdf,1,3,9.7,70,180.9,16,0
file01.pdf,1,Date of entering the Central Government,9.7,96,169.2,0,0
file01.pdf,1,Service,9.7,96,186.7,0,0
file01.pdf,1,4,9.7,70,207.8,16,0
file01.pdf,1,PAY + SI + NPA,9.7,96,204.9,0,0
file01.pdf,1,5,9.7,70,225.9,16,0
file01.pdf,1,Whether permanent or temporary,9.7,96,222.9,0,0
file01.pdf,1,6,9.7,70,241.1,16,0
file01.pdf,1,Home Town as recorded in the Service Book,9.7,96,241.1,0,0
file01.pdf,1,7,9.7,70,265,16,0
file01.pdf,1,Whether wife / husband is employed and if,9.7,96,253.3,0,0
file01.pdf,1,so whether entitled to LTC,9.7,96,270.9,0,0
file01.pdf,1,8,9.7,70,309.6,16,0
file01.pdf,1,Whether the concession is to be availed for,9.7,96,289,0,0
file01.pdf,1,visiting home town and if so block for which,9.7,96,306.6,0,0
file01.pdf,1,LTC is to be availed.,9.7,96,324.2,0,0
file01.pdf,1,9,9.7,70,362.8,16,0
file01.pdf,1,(a) If the concession is to visit anywhere in,9.7,96,342.3,0,0
file01.pdf,1,"India, the place to be visited.",9.7,96,359.9,0,0
file01.pdf,1,(b) Block for which to be availed.,9.7,96,377.5,0,0
file01.pdf,1,10,9.7,70,416.2,16,0
file01.pdf,1,Single,9.7,96,395.6,0,0
file01.pdf,1,rail,9.7,136.1,395.6,0,0
file01.pdf,1,fare/bus,9.7,163.6,395.6,0,0
file01.pdf,1,fare,9.7,213.7,395.6,0,0
file01.pdf,1,from,9.7,244.8,395.6,0,0
file01.pdf,1,the,9.7,279.2,395.6,0,0
file01.pdf,1,headquarters to home town/place of visit by,9.7,96,413.2,0,0
file01.pdf,1,shortest route.,9.7,96,430.8,0,0
file01.pdf,1,11,9.7,70,498.6,16,0
file01.pdf,1,Persons in respect of whom LTC is proposed to be availed.,9.7,96,448.9,0,0
file01.pdf,1,S.No,9.7,96,464.1,16,0
file01.pdf,1,Name,9.7,211.4,464.1,16,0
file01.pdf,1,Age,9.7,343.5,464.1,16,0
file01.pdf,1,Relationship,9.7,444.6,464.1,16,0
file01.pdf,1,1,9.7,103.6,476.2,16,0
file01.pdf,1,2,9.7,103.6,488.5,16,0
file01.pdf,1,3,9.7,103.6,500.7,16,0
file01.pdf,1,4,9.7,103.6,513,16,0
file01.pdf,1,5,9.7,103.6,529.5,16,0
file01.pdf,1,6,9.7,103.6,541.7,16,0
file01.pdf,1,12,9.7,70,567,16,0
file01.pdf,1,Amount of advance required.,9.7,96,561.1,1,0
file01.pdf,1,Rs.,9.7,304.4,561.1,0,0
file01.pdf,1,I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.7,105.1,596.8,0,0
file01.pdf,1,undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.7,70,608.5,0,0
file01.pdf,1,In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.7,105.1,632.1,0,0
file01.pdf,1,"advance, I undertake to refund the entire advance in one lump sum.",9.7,70,643.8,0,0
file01.pdf,1,Date,9.7,70,679,16,0
file01.pdf,1,Signature of Government Servant.,9.7,403,690.7,16,0
file02.pdf,1,Overview,24,252.6,189.6,16,-1
file02.pdf,1,Foundation Level Extensions,24,139.3,244.8,16,-1
file02.pdf,1,Version 1.0,12,275.7,382.4,0,0
file02.pdf,1,International Software Testing Qualifications Board,18,103.3,465.7,0,0
file02.pdf,1,Copyright Notice,10,70.9,652.3,0,0
file02.pdf,1,"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",10,70.9,663.8,0,0
file02.pdf,2,International,10,447.9,38.6,0,0
file02.pdf,2,Overview,12,74.4,41.6,0,0
file02.pdf,2,Software Testing,10,438,50.1,0,0
file02.pdf,2,Foundation Level Extension –,10,74.4,58.4,0,0
file02.pdf,2,Agile Tester,10,209.1,58.4,0,0
file02.pdf,2,Qualifications,10,430.8,61.7,0,0
file02.pdf,2,Board,10,493.5,61.7,0,0
file02.pdf,2,Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,10,70.9,120.4,0,0
file02.pdf,2,Version 2014,10,76.6,718.7,0,0
file02.pdf,2,Page 2 of 12,10,270.2,718.7,0,0
file02.pdf,2,"May 31, 2014",10,471.6,718.7,0,0
file02.pdf,2,© International Software Testing Qualifications Board,6,76.6,736.9,0,0
file02.pdf,3,Qualifications Board,10,430.8,61.7,0,0
file02.pdf,3,International,10,447.9,38.6,0,0
file02.pdf,3,Overview,12,74.4,41.6,0,0
file02.pdf,3,Software Testing,10,438,50.1,0,0
file02.pdf,3,Foundation Level Extension –,10,74.4,58.4,0,0
file02.pdf,3,Agile Tester,10,209.1,58.4,0,0
file02.pdf,3,Revision History,16,70.9,108.9,16,1
file02.pdf,3,Version,10,74.4,139.4,16,0
file02.pdf,3,Date,10,146.4,139.4,16,0
file02.pdf,3,Remarks,10,278.7,139.4,16,0
file02.pdf,3,0.1,10,74.4,151.8,0,0
file02.pdf,3,18-Jun-13,10,146.4,151.8,0,0
file02.pdf,3,Initial version,10,278.7,151.8,0,0
file02.pdf,3,0.2,10,74.4,164,0,0
file02.pdf,3,23-Jul-13,10,146.4,164,0,0
file02.pdf,3,WG reviewed and confirmed,10,278.7,164,0,0
file02.pdf,3,0.3,10,74.4,176.3,0,0
file02.pdf,3,06-Nov-13,10,146.4,176.3,0,0
file02.pdf,3,amended population and diagram,10,278.7,176.3,0,0
file02.pdf,3,0.7,10,74.4,188.5,0,0
file02.pdf,3,11-Dec-13,10,146.4,188.5,0,0
file02.pdf,3,Amended Business Outcomes and Chapters matching,10,278.7,188.5,0,0
file02.pdf,3,0.8,10,74.4,200.8,0,0
file02.pdf,3,20-Dec-13,10,146.4,200.8,0,0
file02.pdf,3,Working group updates on 0.7,10,278.7,200.8,0,0
file02.pdf,3,1,10,74.4,213,0,0
file02.pdf,3,31-May-14,10,146.4,213,0,0
file02.pdf,3,GA release for Agile Extension,10,278.7,213,0,0
file02.pdf,3,Version 2014,10,76.6,718.7,0,0
file02.pdf,3,Page 3 of 12,10,270.2,718.7,0,0
file02.pdf,3,"May 31, 2014",10,471.6,718.7,0,0
file02.pdf,3,© International Software Testing Qualifications Board,6,76.6,736.9,0,0
file02.pdf,4,..........................................................................................................................................,10,151.8,144.7,16,0
file02.pdf,4,........................................................................................................................................,10,157.3,162.1,16,0
file02.pdf,4,............................................................................,10,323,179.6,16,0
file02.pdf,4,...............................................................,10,358.9,197.2,16,0
file02.pdf,4,.....................................................................................................................,10,195.9,214.8,0,0
file02.pdf,4,............................................................................................................,10,221.8,226.3,0,0
file02.pdf,4,...................................................................................................................,10,201.6,237.8,0,0
file02.pdf,4,...................................................................................................................,10,201.6,249.3,0,0
file02.pdf,4,...................................................................................................,10,247.7,260.8,0,0
file02.pdf,4,......................................................................................................................,10,193,272.3,0,0
file02.pdf,4,.........................................,10,414.1,289.7,16,0
file02.pdf,4,.................................................................................................................,10,201.6,307.4,0,0
file02.pdf,4,....................................................................................................................................,10,146.9,318.8,0,0
file02.pdf,4,..........................................................................................................................................,10,146.3,336.2,16,0
file02.pdf,4,.............................................................................................................................,10,167.1,353.8,0,0
file02.pdf,4,.......................................................................................................,10,230.5,365.3,0,0
file02.pdf,4,International,10,447.9,38.6,0,0
file02.pdf,4,Overview,12,74.4,41.6,0,0
file02.pdf,4,Software Testing,10,438,50.1,0,0
file02.pdf,4,Foundation Level Extension –,10,74.4,58.4,0,0
file02.pdf,4,Agile Tester,10,209.1,58.4,0,0
file02.pdf,4,Qualifications,10,430.8,61.7,0,0
file02.pdf,4,Board,10,493.5,61.7,0,0
file02.pdf,4,Table of Contents,16,70.9,108.9,16,1
file02.pdf,4,Revision History,10,70.9,144.7,16,0
file02.pdf,4,3,10,535.2,144.7,16,0
file02.pdf,4,Table of Contents,10,70.9,162.1,16,0
file02.pdf,4,4,10,535.2,162.1,16,0
file02.pdf,4,1,10,70.9,179.6,16,0
file02.pdf,4,Introduction to the Foundation Level Extensions,10,91,179.6,16,0
file02.pdf,4,6,10,535.2,179.6,16,0
file02.pdf,4,2,10,70.9,197.2,16,0
file02.pdf,4,Introduction to Foundation Level Agile Tester Extension,10,91,197.2,16,0
file02.pdf,4,7,10,535.2,197.2,16,0
file02.pdf,4,2.1,10,80.9,214.8,0,0
file02.pdf,4,Intended Audience,10,110.9,214.8,0,0
file02.pdf,4,7,10,535.2,214.8,0,0
file02.pdf,4,2.2,10,80.9,226.3,0,0
file02.pdf,4,Career Paths for Testers,10,110.9,226.3,0,0
file02.pdf,4,7,10,535.2,226.3,0,0
file02.pdf,4,2.3,10,80.9,237.8,0,0
file02.pdf,4,Learning Objectives,10,110.9,237.8,0,0
file02.pdf,4,7,10,535.2,237.8,0,0
file02.pdf,4,2.4,10,80.9,249.3,0,0
file02.pdf,4,Entry Requirements,10,110.9,249.3,0,0
file02.pdf,4,8,10,535.2,249.3,0,0
file02.pdf,4,2.5,10,80.9,260.8,0,0
file02.pdf,4,Structure and Course Duration,10,110.9,260.8,0,0
file02.pdf,4,8,10,535.2,260.8,0,0
file02.pdf,4,2.6,10,80.9,272.3,0,0
file02.pdf,4,Keeping It Current,10,110.9,272.3,0,0
file02.pdf,4,9,10,535.2,272.3,0,0
file02.pdf,4,3,10,71,289.7,16,0
file02.pdf,4,Overview of the Foundation Level Extension –,10,91,289.7,16,0
file02.pdf,4,Agile Tester Syllabus,10,312.9,289.7,16,0
file02.pdf,4,10,10,529.5,289.7,16,0
file02.pdf,4,3.1,10,80.9,307.4,0,0
file02.pdf,4,Business Outcomes,10,110.9,307.4,0,0
file02.pdf,4,10,10,529.5,307.4,0,0
file02.pdf,4,3.2,10,80.9,318.8,0,0
file02.pdf,4,Content,10,110.9,318.8,0,0
file02.pdf,4,10,10,529.5,318.8,0,0
file02.pdf,4,4,10,70.9,336.2,16,0
file02.pdf,4,References,10,91,336.2,16,0
file02.pdf,4,12,10,529.5,336.2,16,0
file02.pdf,4,4.1,10,80.9,353.8,0,0
file02.pdf,4,Trademarks,10,110.9,353.8,0,0
